Drug,Class
Byvalson,Miscellaneous antihypertensive combinations
Lubiprostone," GI Drugs, Miscellaneous"
Lucemyra,"Antiadrenergic agents, centrally acting"
Lucentis,Anti-angiogenic ophthalmic agents
Ludiomil,Tetracyclic antidepressants
Lufyllin,Methylxanthines
Luliconazole, Azoles
Serophene,Synthetic ovulation stimulants
Lumakras,Miscellaneous antineoplastics
Lumason,Diagnostic radiopharmaceuticals
Lumateperone, Atypical Antipsychotics
Lumigan,Ophthalmic glaucoma agents
Lumizyme,Lysosomal enzymes
Lumoxiti,Miscellaneous antineoplastics
Lunesta,"Miscellaneous anxiolytics, sedatives and hypnotics"
Lupaneta Pack,Sex hormone combinations
Lupkynis,Calcineurin inhibitors
Lupron Depot,Gonadotropin releasing hormones
Seroquel,Atypical antipsychotics
Lupron Depot-PED,Gonadotropin releasing hormones
Lurasidone, Atypical Antipsychotics
Lurbinectedin, Antineoplastic Agents
Lusedra,General anesthetics
Luspatercept-aamt, Hematopoietic Agents
Lusutrombopag, Hematopoietic Agents
Lutathera,Therapeutic radiopharmaceuticals
Lutetium Lu 177 Dotatate, Antineoplastic Agents
Luveris,Gonadotropins
fluvoxaMINE, Selective Serotonin-reuptake Inhibitors
Seroquel XR,Atypical antipsychotics
Luvox CR,Selective serotonin reuptake inhibitors
Luxiq,Topical steroids
Luxturna,Miscellaneous ophthalmic agents
Carbocaine with Neo-Cobefrin,Local injectable anesthetics
Scenesse Implants,Melanocortin receptor agonists
Afamelanotide (Topical)," Skin and Mucous Membrane Agents, Miscellaneous"
Talc, Sclerosing Agents
Sclerosol,Miscellaneous uncategorized agents
Scot-Tussin Expectorant SF Cough,Expectorants
Itraconazole, Azoles
Serostim,Growth hormones
Ilaris,Interleukin inhibitors
Iloperidone, Atypical Antipsychotics
Iloprost, Vasodilating Agents
ilotycin,Ophthalmic anti-infectives
Ilumya Injection,Interleukin inhibitors
Tildrakizumab-asmn," Skin and Mucous Membrane Agents, Miscellaneous"
Iluvien Implant,Ophthalmic steroids
Fluocinolone (EENT), Corticosteroids
Indocyanine Green,Miscellaneous diagnostic dyes
Sertaconazole, Azoles
Icatibant, Complement Inhibitors
Iclusig,BCR-ABL tyrosine kinase inhibitors
Icosapent Ethyl," Antilipemic Agents, Miscellaneous"
Glasdegib, Antineoplastic Agents
Glassia,Miscellaneous respiratory agents
Glatiramer, Immunomodulatory Agents
Glecaprevir And Pibrentasvir, HCV Protease Inhibitors
Gleevec,BCR-ABL tyrosine kinase inhibitors
Gleolan,Malignancy photosensitizers
Sertraline, Selective Serotonin-reuptake Inhibitors
Gleostine,Alkylating agents
Gliadel,Alkylating agents
Glimepiride, Sulfonylureas
Glipizide, Sulfonylureas
Glipizide and Metformin,"Antidiabetic Agent, Biguanide"
Gloperba,Antigout agents
GlucaGen,Glucose elevating agents
Glucarpidase, Antidotes
Dextrose 50% Injection,Glucose elevating agents
Glucophage,Non-sulfonylureas
Serzone,Phenylpiperazine antidepressants
Glucophage XR,Non-sulfonylureas
Glucotrol,Sulfonylureas
Glucotrol XL,Sulfonylureas
Glucovance,Antidiabetic combinations
Glumetza,Non-sulfonylureas
Glyburide and Metformin,"Antidiabetic Agent, Biguanide"
Lidocaine (Topical),"Analgesic, Topical"
Polyethylene Glycol,Laxatives
Glycopyrrolate and Formoterol,Anticholinergic Agent
Glycopyrronium," Skin and Mucous Membrane Agents, Miscellaneous"
Fosphenytoin, Hydantoins
Glydo Jelly,Topical anesthetics
Glyset,Alpha-glucosidase inhibitors
Glytone Clarifying Gel,Topical depigmenting agents
Glytone Clarifying Cream,Topical depigmenting agents
Glytone Skin Lightening Gel,Topical depigmenting agents
Glytone Skin Lightening Cream,Topical depigmenting agents
Glyxambi,Antidiabetic combinations
Oscimin SR Tablets,Anticholinergics / antispasmodics
Oscimin Oral Dispersible Tablet,Anticholinergics / antispasmodics
Oseltamivir, Neuraminidase Inhibitors
Guaifenesin-DM NR,Upper respiratory combinations
Sevelamer, Phosphate-removing Agents
Oseni,Antidiabetic combinations
Osilodrostat, Other Miscellaneous Therapeutic Agents
Osimertinib, Antineoplastic Agents
Osmitrol,Miscellaneous diuretics
OsmoPrep,Laxatives
Osmolex ER,Dopaminergic antiparkinsonism agents
Ospemifene, Estrogen Agonists-Antagonists
Osphena,Selective estrogen receptor modulators
Quadracel,Vaccine combinations
Quadramet,Therapeutic radiopharmaceuticals
Factor VIIa (Recombinant), Hemostatics
Qualaquin,Antimalarial quinolines
Quartette,Contraceptives
Quasense,Contraceptives
Quazepam,Benzodiazepine
Qudexy XR Capsules,Carbonic anhydrase inhibitor anticonvulsants
Questran,Bile acid sequestrants
QUEtiapine, Atypical Antipsychotics
Quibron-T,Methylxanthines
Quibron T/SR,Methylxanthines
Quillichew ER,CNS stimulants
Quillivant XR,CNS stimulants
quiNIDine, Class Ia Antiarrhythmics
quiNINE, Antimalarials
Quinapril, Angiotensin-Converting Enzyme Inhibitors
Quinapril and Hydrochlorothiazide,Angiotensin-Converting Enzyme (ACE) Inhibitor
Quinapril and Hydrochlorothiazide,ACE inhibitors with thiazides
Quinupristin/Dalfopristin, Streptogramins
Quixin,Ophthalmic anti-infectives
Qutenza,Miscellaneous topical agents
Quzyttir Injection,Antihistamines
Sevoflurane,General anesthetics
Flac Otic Oil,Otic steroids
Flagyl,Amebicides
Flagyl ER,Amebicides
Flagyl Injection,Amebicides
Flarex,Ophthalmic steroids
flavoxATE, Genitourinary Smooth Muscle Relaxants
Flebogamma DIF,Immune globulins
Flebogamma,Immune globulins
Flecainide, Class Ic Antiarrhythmics
Flector,Topical non-steroidal anti-inflammatories
Seysara,Tetracyclines
Flexbumin,Plasma expanders
Flexeril,Skeletal muscle relaxants
Flibanserin," Central Nervous System Agents, Miscellaneous"
Flo-Pred,Glucocorticoids
Flolan,Agents for pulmonary hypertension
Flolipid,Statins
Flomax,"Antiadrenergic agents, peripherally acting"
Flonase,Nasal steroids
Fludrocortisone, Adrenals
Floriva Drops,Vitamin and mineral combinations
Braftovi,Multikinase inhibitors
Florone,Topical steroids
Flovent,Inhaled corticosteroids
Flovent Diskus,Inhaled corticosteroids
Floxin Tablets,Quinolones
Ofloxacin Ear Drops,Otic anti-infectives
Floxuridine, Antineoplastic Agents
Flulaval Quadrivalent,Viral vaccines
Influenza Vaccine Recombinant, Vaccines
Flumist Quadrivalent,Viral vaccines
Influenza Vaccine Live Intranasal, Vaccines
Bremelanotide," Central Nervous System Agents, Miscellaneous"
Fluad,Viral vaccines
Fluarix Quadrivalent,Viral vaccines
Flublok,Viral vaccines
Flublok Quadrivalent,Viral vaccines
Flucelvax Quadrivalent,Viral vaccines
Fluconazole, Azoles
Flucytosine, Pyrimidines
Fludarabine, Antineoplastic Agents
Flumadine,Adamantane antivirals
Flumazenil," Central Nervous System Agents, Miscellaneous"
Brentuximab, Antineoplastic Agents
Flumist,Viral vaccines
Fluocinolone (Otic),"Corticosteroid, Otic"
Neomycin and Fluocinolone,"Antibiotic, Topical"
Fluoxiv Cream,Topical steroids
Fluor-Op,Ophthalmic steroids
Proparacaine and Fluorescein,Diagnostic Agent
Fluoroplex,Topical antineoplastics
Fluorouracil (Systemic), Antineoplastic Agents
Flurazepam, Benzodiazepines
Breo Ellipta,Bronchodilator combinations
Flurbiprofen, Other Nonsteroidal Anti-inflammatory Agents
Flurbiprofen (EENT), Nonsteroidal Anti-inflammatory Agents
Flutamide, Antineoplastic Agents
Fluticasone (Topical),"Corticosteroid, Topical"
Fluticasone and Salmeterol,Beta2 Agonist
Fluticasone and Vilanterol,Beta2 Agonist
"Fluticasone, Umeclidinium, and Vilanterol",Anticholinergic Agent
Fluvastatin, HMG-CoA Reductase Inhibitors
Fluzone Quadrivalent,Viral vaccines
PCE,Macrolides
Brevibloc,Cardioselective beta blockers
Xpovio,Miscellaneous antineoplastics
Nocdurna,Antidiuretic hormones
Noctiva,Antidiuretic hormones
"Isometheptene, Dichloralphenazone and Acetaminophen Capsules",Antimigraine agents
Nolix Cream,Topical steroids
Nolix Lotion,Topical steroids
Nolvadex,Hormones / antineoplastics
Nor-QD,Contraceptives
Nora-BE,Contraceptives
Norco,Narcotic analgesic combinations
Fluoride,Nutritional Supplement
Brevital Sodium,General anesthetics
Norditropin,Growth hormones
Norepinephrine, alpha- and beta-Adrenergic Agonists
Norflex,Skeletal muscle relaxants
Norfloxacin,"Antibiotic, Fluoroquinolone"
Norgesic,Skeletal muscle relaxant combinations
Norgesic Forte,Skeletal muscle relaxant combinations
Noritate,Topical anti-rosacea agents
Normosol-R Injection,Intravenous nutritional products
Normosol-R,Intravenous nutritional products
Noroxin,Quinolones
Benzoyl Peroxide Wash,Topical acne agents
Norpace,Group I antiarrhythmics
Norpramin,Tricyclic antidepressants
Northera,Vasopressors
Norvasc,Calcium channel blocking agents
Norvir,Antiviral boosters
Nouress,Intravenous nutritional products
Nourianz,Miscellaneous antiparkinson agents
Paclitaxel, Antineoplastic Agents
Novantrone,Antibiotics / antineoplastics
hydrALAZINE, Direct Vasodilators
Brevoxyl Gel,Topical acne agents
Irinotecan, Antineoplastic Agents
Novarel,Gonadotropins
NovoSeven RT,Miscellaneous coagulation modifiers
Novocain,Local injectable anesthetics
Novoeight,Miscellaneous coagulation modifiers
Novolin 70/30,Insulin
Novolin N,Insulin
Novolin R,Insulin
Noxafil,Azole antifungals
Noxivent,Miscellaneous respiratory agents
Brexafemme,Miscellaneous antifungals
Xcopri,Carbamate anticonvulsants
Tabloid,Antimetabolites
Tabrecta,Multikinase inhibitors
Taclonex,Topical antipsoriatics
Tacrolimus (Systemic), Immunosuppressive Agents
Tacrolimus (Topical)," Skin and Mucous Membrane Agents, Miscellaneous"
Tadalafil, Phosphodiesterase Type 5 Inhibitors
Tafamidis," Antiarrhythmics, Miscellaneous"
Tafasitamab-cxix, Antineoplastic Agents
Tafenoquine (Arakoda), Antimalarials
Brexanolone," Antidepressants, Miscellaneous"
Tafenoquine (Krintafel), Antimalarials
Tafinlar,Multikinase inhibitors
Tafluprost, Prostaglandin Analogs
Cimetidine, Histamine H2-Antagonists
Tagitol V Suspension,Non-iodinated contrast media
Tagraxofusp-erzs, Antineoplastic Agents
Tagrisso,EGFR inhibitors
Takhzyro,Hereditary angioedema agents
Pentazocine Acetaminophen,Narcotic analgesic combinations
Talazoparib, Antineoplastic Agents
Brexpiprazole, Atypical Antipsychotics
Talicia,H. pylori eradication agents
Taliglucerase Alfa, Enzymes
Talimogene Laherparepvec, Antineoplastic Agents
Taltz,Interleukin inhibitors
Pentazocine, Opiate Partial Agonists
Pentazocine Naloxone,Narcotic analgesic combinations
Talzenna,PARP inhibitors
Tambocor,Group I antiarrhythmics
Tamiflu,Neuraminidase inhibitors
Tamoxifen, Estrogen Agonists-Antagonists
Brexucabtagene Autoleucel,"Antineoplastic Agent, Anti-CD19"
Tamsulosin, Selective alpha-1-Adrenergic Blocking Agents
Tanzeum,Incretin mimetics
Tapazole,Antithyroid agents
Tapentadol, Opiate Agonists
TaperDex 6-day,Glucocorticoids
TaperDex 12-day,Glucocorticoids
Tarceva,EGFR inhibitors
Targiniq ER,Narcotic analgesic combinations
Targretin,Miscellaneous antineoplastics
Targretin Gel,Miscellaneous topical agents
Breyanzi,Miscellaneous antineoplastics
Tarka,ACE inhibitors with calcium channel blocking agents
Tasigna,BCR-ABL tyrosine kinase inhibitors
Tasmar,Dopaminergic antiparkinsonism agents
Tavaborole, Oxaboroles
Tavalisse,Miscellaneous coagulation modifiers
Clemastine, First Generation Antihistamines
Taxol,Mitotic inhibitors
Taxotere,Mitotic inhibitors
Taytulla,Contraceptives
Bretzri,Bronchodilator combinations
Tazemetostat, Antineoplastic Agents
Tazicef,Third generation cephalosporins
Tazorac Cream,Topical acne agents
Tazorac Gel,Topical acne agents
Taztia XT,Calcium channel blocking agents
Tazverik,Miscellaneous antineoplastics
Fyavolv,Contraceptives
Fycompa,AMPA receptor antagonists
Lo Loestrin Fe,Contraceptives
Bridion,Miscellaneous central nervous system agents
Lo Minastrin Fe,Contraceptives
Lo Ovral,Contraceptives
Lo Ovral 28,Contraceptives
LoKara,Topical steroids
LoSeasonique,Contraceptives
Locoid Cream,Topical steroids
Locoid Lotion,Topical steroids
Locoid Lipocream,Topical steroids
Lodine,Nonsteroidal anti-inflammatory drugs
Lodosyn,Dopaminergic antiparkinsonism agents
Stannous Fluoride Oral Rinse,Mouth and throat products
Brigatinib, Antineoplastic Agents
Lodoxamide, Antiallergic Agents
Loestrin,Contraceptives
Loestrin 24 Fe,Contraceptives
Lofexidine, alpha-Adrenergic Agonists
Lofibra,Fibric acid derivatives
Lokelma,Cation exchange resins
Lomaira,Anorexiants
Lomitapide," Antilipemic Agents, Miscellaneous"
Lomotil,Antidiarrheals
Lomustine, Antineoplastic Agents
Brilinta Tablets,Platelet aggregation inhibitors
Lonhala Magnair,Anticholinergic bronchodilators
Loniten,Vasodilators
Lonsurf,Antineoplastic combinations
Lopid,Fibric acid derivatives
Lopinavir and Ritonavir, HIV Protease Inhibitors
Lopreeza,Sex hormone combinations
Lopressor,Cardioselective beta blockers
Lopressor HCT,Beta blockers with thiazides
Loprox,Topical antifungals
Lorabid,Second generation cephalosporins
Ticagrelor, Platelet-aggregation Inhibitors
Loratadine and Pseudoephedrine,Alpha/Beta Agonist
Lorazepam, Benzodiazepines
Lorazepam Intensol,Benzodiazepine anticonvulsants
Lorbrena,Multikinase inhibitors
Lorcaserin, Selective Serotonin Receptor Agonists
Lorlatinib, Antineoplastic Agents
Lortab,Narcotic analgesic combinations
Loryna,Contraceptives
Lorzone Tablets,Skeletal muscle relaxants
Losartan, Angiotensin II Receptor Antagonists
Brimonidine (EENT), alpha-Adrenergic Agonists
Losartan and Hydrochlorothiazide,Angiotensin II Receptor Blocker
Lotemax,Ophthalmic steroids
Loteprednol, Corticosteroids
Lotensin,Angiotensin Converting Enzyme Inhibitors
Lotensin HCT,ACE inhibitors with thiazides
Lotrel,ACE inhibitors with calcium channel blocking agents
Lotrisone,Topical steroids with anti-infectives
Lotronex,Serotoninergic neuroenteric modulators
Lovaza,Nutraceutical products
Lovenox,Heparins
Brimonidine (Topical)," Skin and Mucous Membrane Agents, Miscellaneous"
Low-Ogestrel,Contraceptives
Loxapine," Antipsychotics, Miscellaneous"
Loxitane,Miscellaneous antipsychotic agents
Lozol,Thiazide diuretics
Kybella,Miscellaneous uncategorized agents
Kyleena,Contraceptives
Kymriah,Miscellaneous antineoplastics
Kynamro,Miscellaneous antihyperlipidemic agents
Kynmobi,Dopaminergic antiparkinsonism agents
Kyprolis,Proteasome inhibitors
Brinzolamide and Brimonidine,"Alpha2 Agonist, Ophthalmic"
Kytril,5HT3 receptor antagonists
VoSpire ER,Adrenergic bronchodilators
Vocabria,Integrase strand transfer inhibitor
Vogelxo,Androgens and anabolic steroids
Volnea,Contraceptives
Voltaren,Nonsteroidal anti-inflammatory drugs
Voltaren Gel,Topical non-steroidal anti-inflammatories
Voltaren Ophthalmic,Ophthalmic anti-inflammatory agents
Voltaren XR,Nonsteroidal anti-inflammatory drugs
VoLumen,Non-iodinated contrast media
Brimonidine and Timolol,"Alpha2 Agonist, Ophthalmic"
Hydroxyethyl Starch 130/0.4, Replacement Preparations
Von Willebrand Factor (recombinant), Hemostatics
Vonvendi,Miscellaneous coagulation modifiers
Vorapaxar, Platelet-aggregation Inhibitors
Voraxaze,Antidotes
Voretigene Neparvovec,"Gene Therapy, Adeno-Associated Virus"
Vorinostat, Antineoplastic Agents
Vortioxetine, Serotonin Modulators
Vosevi,Antiviral combinations
Acetic Acid,Otic anti-infectives
Brineura,Lysosomal enzymes
Hydrocortisone and Acetic Acid,Otic steroids with anti-infectives
Vosol,Otic anti-infectives
Votrient,VEGF / VEGFR inhibitors
Voxelotor," Blood Formation, Coagulation, and Thrombosis Agents; Miscellaneous"
A-Hydrocort,Glucocorticoids
Umeclidinium, Antimuscarinics/Antispasmodics
Umeclidinium and Vilanterol,Anticholinergic Agent
Umecta Emulsion,Topical emollients
Umecta Topical Suspension,Topical emollients
Umecta PD Topical Suspension,Topical emollients
Brinzolamide, Carbonic Anhydrase Inhibitors
Umecta PD,Topical emollients
Kcentra,Anticoagulant reversal agents
Ubrelvy,CGRP inhibitors
Ubrogepant, Calcitonin Gene-related Peptide (CGRP) Antagonists
Zyprexa,Atypical antipsychotics
Zyban,Smoking cessation agents
Zyclara,Topical anti-infectives
Zydelig,PI3K inhibitors
Zydone,Narcotic analgesic combinations
Zyflo,Leukotriene modifiers
Brisdelle,Selective serotonin reuptake inhibitors
Zyflo CR,Leukotriene modifiers
Zykadia,Multikinase inhibitors
Zylet,Ophthalmic steroids with anti-infectives
Zyloprim,Antigout agents
Zymar,Ophthalmic anti-infectives
Zymaxid,Ophthalmic anti-infectives
Zynlonta Injection,Miscellaneous antineoplastics
Zynrelef,Analgesic combinations
Zypitamag,Statins
Zyprexa Relprevv,Atypical antipsychotics
epiRUBicin, Antineoplastic Agents
Phoslo,Minerals and electrolytes
Brivaracetam," Anticonvulsants, Miscellaneous"
Zyrtec,Antihistamines
Zyrtec Itchy Eye,Ophthalmic antihistamines and decongestants
Zytiga,Miscellaneous antineoplastics
Zyvox,Oxazolidinone antibiotics
Axert,Antimigraine agents
Axicabtagene Ciloleucel,"Antineoplastic Agent, Anti-CD19"
Axid AR,H2 antagonists
Axiron,Androgens and anabolic steroids
Axitinib, Antineoplastic Agents
Axumin,Diagnostic radiopharmaceuticals
Briviact,Pyrrolidine anticonvulsants
Robaxin,Skeletal muscle relaxants
Robinul,Anticholinergics / antispasmodics
Rocephin,Third generation cephalosporins
Rocklatan Eye Drops,Ophthalmic glaucoma agents
Rocuronium, Neuromuscular Blocking Agents
Roflumilast, Phosphodiesterase Type 4 Inhibitors
Rogaine Extra Strength Mens,Miscellaneous topical agents
Rolapitant, Neurokinin-1 Receptor Antagonists
Romidepsin, Antineoplastic Agents
Romiplostim, Hematopoietic Agents
Brodalumab," Skin and Mucous Membrane Agents, Miscellaneous"
Romosozumab-aqqg, Bone Anabolic Agents
rOPINIRole, Nonergot-derivative Dopamine Receptor Agonists
Rosadan Cream,Topical anti-rosacea agents
Rosadan Gel,Topical anti-rosacea agents
Rosanil Cleanser,Topical antibiotics
Rosiglitazone, Thiazolidinediones
Rosula,Topical antibiotics
Rosuvastatin, HMG-CoA Reductase Inhibitors
Rosuvastatin and Ezetimibe,Antihyperlipidemic combinations
Roszet,Antihyperlipidemic combinations
Brolucizumab," EENT Drugs, Miscellaneous"
Rotarix,Viral vaccines
Rotateq,Viral vaccines
Rotavirus Vaccine Live Oral, Vaccines
Rowasa,5-aminosalicylates
Levetiracetam," Anticonvulsants, Miscellaneous"
Roxicet,Narcotic analgesic combinations
Roxicodone,Narcotic analgesics
Roxybond,Narcotic analgesics
Rozerem,"Miscellaneous anxiolytics, sedatives and hypnotics"
Rozlytrek,Multikinase inhibitors
Bromsite,Ophthalmic anti-inflammatory agents
Topcare Acid Reducer,H2 antagonists
Ledipasvir and Sofosbuvir, HCV Replication Complex Inhibitors
Lefamulin, Pleuromutilins
Leflunomide, Disease-modifying Antirheumatic Drugs
Lemborexant," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous"
Lemtrada,CD52 monoclonal antibodies
Lenalidomide, Immunomodulatory Agents
Lenvatinib, Antineoplastic Agents
Lenvima,Multikinase inhibitors
Lescol,Statins
"Brompheniramine, Pseudoephedrine, Dextromethorpan Syrup",Upper respiratory combinations
Lescol XL,Statins
Lesinurad, Uricosuric Agents
Lesinurad and Allopurinol,Antigout Agent
Lessina,Contraceptives
Letairis,Agents for pulmonary hypertension
Letermovir," Antivirals, Miscellaneous"
Letrozole, Antiestrogens
Leucovorin, Antidotes
Leukeran,Alkylating agents
Leukine,Colony stimulating factors
Phenylephrine Complex,Upper respiratory combinations
Leuprolide and Norethindrone,Gonadotropin Releasing Hormone Agonist
Leustatin,Antimetabolites
Levamlodipine,Antihypertensive
Levaquin,Quinolones
Levatol,Non-cardioselective beta blockers
Levemir,Insulin
Insulin Detemir, Long-acting Insulins
Levitra,Impotence agents
Levo-Dromoran,Narcotic analgesics
levoFLOXacin (EENT), Antibacterials
Brompheniramine Maleate Drops,Antihistamines
levoFLOXacin (Systemic), Quinolones
Levocarnitine, Other Miscellaneous Therapeutic Agents
Levocetirizine, Second Generation Antihistamines
Levodopa (Oral Inhalation),"Anti-Parkinson Agent, Dopamine Precursor"
"Carbidopa, Levodopa and Entacapone",Dopaminergic antiparkinsonism agents
Levodopa/Carbidopa, Dopamine Precursors
LEVOleucovorin, Antidotes
Levonorgestrel (Systemic),Contraceptive
Levophed,Catecholamines
Levorphanol, Opiate Agonists
Bromday,Ophthalmic anti-inflammatory agents
Levothroid,Thyroid drugs
Levoxyl,Thyroid drugs
Levsin,Anticholinergics / antispasmodics
Levulan Kerastick,Topical photochemotherapeutics
Lexapro,Selective serotonin reuptake inhibitors
Lexette Foam,Topical steroids
Halobetasol Propionate Ointment,Topical steroids
Lexiscan,Cardiac stressing agents
Lexiva,Protease inhibitors
Xtampza ER,Narcotic analgesics
Bromfed DM,Upper respiratory combinations
Xtandi,Antiandrogens
Odactra,Allergenics
Odefsey,Antiviral combinations
Odomzo,Hedgehog pathway inhibitors
Yupelri,Anticholinergic bronchodilators
Yutiq,Ophthalmic steroids
Yuvafem,Estrogens
Irbesartan and Hydrochlorothiazide,Angiotensin II Receptor Blocker
Irenka,Serotonin-norepinephrine reuptake inhibitors
Iressa,EGFR inhibitors
Phoslyra,Minerals and electrolytes
Bromfenac, Nonsteroidal Anti-inflammatory Agents
Irinotecan (Liposomal),"Antineoplastic Agent, Camptothecin"
Iron Chews,Iron products
Iron Dextran, Iron Preparations
Ifex,Alkylating agents
Ifosfamide, Antineoplastic Agents
Yasmin,Contraceptives
Yaz,Contraceptives
Ethinyl Estradiol and Drospirenone,Contraceptive
Adagen,Other immunostimulants
Adakveo Injection,Miscellaneous uncategorized agents
Bromhist-PDX Syrup,Upper respiratory combinations
Adalat CC,Calcium channel blocking agents
Adapalene," Skin and Mucous Membrane Agents, Miscellaneous"
Adapalene and Benzoyl Peroxide Gel,Topical acne agents
Adapalene and Benzoyl Peroxide,Acne Products
Adasuve,Miscellaneous antipsychotic agents
Adcetris,CD30 monoclonal antibodies
Adcirca,Agents for pulmonary hypertension
Adderall,CNS stimulants
Adderall XR,CNS stimulants
addyi,Miscellaneous central nervous system agents
Bromocriptine, Ergot-derivative Dopamine Receptor Agonists
Adefovir, Nucleosides and Nucleotides
Adenocard,Cardiac stressing agents
Adenoscan,Cardiac stressing agents
Adenosine, Class IV Antiarrhythmics
Adenovirus Vaccine, Vaccines
Adhansia XR,CNS stimulants
Adipex-P,Anorexiants
Adlyxin,Incretin mimetics
Admelog,Insulin
Ado-Trastuzumab Emtansine, Antineoplastic Agents
Brompheniramine and Pseudoephedrine,Alkylamine Derivative
Adoxa,Miscellaneous antimalarials
AdreView,Diagnostic radiopharmaceuticals
Adrenaclick,Adrenergic bronchodilators
Adrenalin Injection,Adrenergic bronchodilators
Adriamycin,Antibiotics / antineoplastics
Adrucil,Antimetabolites
Aduhelm,Miscellaneous central nervous system agents
Advair,Bronchodilator combinations
Fluticasone and Salmeterol inhalation,Bronchodilator combinations
Advate,Miscellaneous coagulation modifiers
"Brompheniramine, Pseudoephedrine, and Dextromethorphan",Alkylamine Derivative
Advicor,Antihyperlipidemic combinations
Advil,Nonsteroidal anti-inflammatory drugs
Advil Allergy Sinus,Upper respiratory combinations
Advil Childrens,Nonsteroidal anti-inflammatory drugs
Advil Cold and Sinus,Upper respiratory combinations
Advil PM,Analgesic combinations
Advil Infants Concentrated Drops,Nonsteroidal anti-inflammatory drugs
Adynovate,Miscellaneous coagulation modifiers
Adzenys ER Oral Suspension,CNS stimulants
Amphetamine Tablets,CNS stimulants
"BPM Mal, PSE HC, DM HBr",Upper respiratory combinations
Adzenys XR-ODT,CNS stimulants
Sublimaze,Narcotic analgesics
Suboxone,Narcotic analgesic combinations
Subsys,Narcotic analgesics
Succimer, Heavy Metal Antagonists
Sucraid,Digestive enzymes
Sucralfate, Protectants
Sucroferric Oxyhydroxide, Phosphate-removing Agents
Sufenta,Narcotic analgesics
SUFentanil, Opiate Agonists
Sugammadex, Antidotes
Sular,Calcium channel blocking agents
Sulconazole, Azoles
Sulfacetamide, Antibacterials
Sulfacetamide (Topical),Acne Products
Sulfur and Sulfacetamide,Acne Products
Sulfacleanse 8/4,Topical antibiotics
Sulfadiazine, Sulfonamides
Guaifenesin, Expectorants
Sulfamylon,Topical antibiotics
Sulfatol Gel,Topical antibiotics
Sulfatol 10-4 Cleansing Pads,Topical antibiotics
Sulfatrim,Sulfonamides
Sodium Sulfacetamide Sulfur Cleansing Cloths,Topical antibiotics
Sulindac, Other Nonsteroidal Anti-inflammatory Agents
Sumadan Wash,Topical antibiotics
Sumatriptan and Naproxen,"Analgesic, Nonopioid"
Sumavel Dosepro,Antimigraine agents
Sumaxin Wash,Topical antibiotics
EPINEPHrine (Systemic), alpha- and beta-Adrenergic Agonists
Sumycin,<br/>
SUNItinib, Antineoplastic Agents
Sunosi,Miscellaneous central nervous system agents
Supprelin LA,Gonadotropin releasing hormones
Suprane,General anesthetics
Suprax,Third generation cephalosporins
Suprenza,Anorexiants
Suprep Bowel Prep,Laxatives
Surfaxin,Lung surfactants
Surmontil,Tricyclic antidepressants
Brovana,Adrenergic bronchodilators
Survanta,Lung surfactants
Sustiva,NNRTIs
Sustol Injection,5HT3 receptor antagonists
Sutab,Laxatives
Sutent,Multikinase inhibitors
Suvorexant," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous"
Dyanavel XR,CNS stimulants
Dyazide,Potassium sparing diuretics with thiazides
Dyclonine, Local Anesthetics
Dymista,Nasal antihistamines and decongestants
Phospha 250 Neutral,Minerals and electrolytes
Brukinsa,BTK inhibitors
Dynacin,Tetracyclines
DynaCirc,Calcium channel blocking agents
DynaCirc CR,Calcium channel blocking agents
Dyrenium,Potassium-sparing diuretics
Dysport,Skeletal muscle relaxants
Xadago,Dopaminergic antiparkinsonism agents
Xalatan,Ophthalmic glaucoma agents
Xalkori,Multikinase inhibitors
Xanax,Benzodiazepines
Bryhali,Topical steroids
Xanax XR,Benzodiazepines
Xaracoll,Local injectable anesthetics
Xarelto,Factor Xa inhibitors
Xatmep,Antimetabolites
Enablex,Urinary antispasmodics
Enalapril, Angiotensin-Converting Enzyme Inhibitors
Enalapril and Hydrochlorothiazide,Angiotensin-Converting Enzyme (ACE) Inhibitor
Enasidenib, Antineoplastic Agents
Enbrel,Antirheumatics
Encorafenib, Antineoplastic Agents
Benzocaine (EENT), Local Anesthetics
Endari,Nutraceutical products
Endocet,Narcotic analgesic combinations
Endodan,Narcotic analgesic combinations
Endometrin,Progestins
Enfortumab Vedotin-ejfv, Antineoplastic Agents
Enfuvirtide, HIV Entry and Fusion Inhibitors
Enhertu,HER2 inhibitors
Enjuvia,Estrogens
Enlon,Cholinergic muscle stimulants
Enoxaparin, Heparins
Tuberculin, Tuberculosis
Enpresse,Contraceptives
Enskyce,Contraceptives
Enspryng,Interleukin inhibitors
Enstilar,Topical antipsoriatics
Entacapone, Catechol-O-Methyltransferase (COMT) Inhibitors
Entecavir, Nucleosides and Nucleotides
Entereg,Peripheral opioid receptor antagonists
Entero VU,Non-iodinated contrast media
Entocort EC,Glucocorticoids
Entrectinib, Antineoplastic Agents
Tubersol,In vivo diagnostic biologicals
Entresto,Angiotensin receptor blockers and neprilysin inhibitors
Entyvio Injection,Selective immunosuppressants
Envarsus XR,Calcineurin inhibitors
Enzalutamide, Antineoplastic Agents
Hiberix,Bacterial vaccines
Sodium Iodide I 131 Capsules,Antithyroid agents
Hiprex,Urinary anti-infectives
